start,end,leftfrontal,rightfrontal,lefttemporal,righttemporal,leftparietal,rightparietal,leftoccipital,rightoccipital,leftcingulate,rightcingulate,frontal,temporal,parietal,occipital,cingulate,cerebellum,totalcortical,leftdeep,rightdeep,deep,ventricles,whitematter
0,15,0.032412403,0.07438673,0.076112671,0.074295452,0.052176988,0.102911644,0.028990067,0.016078174,0.127608831,0.216811564,0.053562379,0.075206353,0.077745634,0.02249876,0.170756595,0.02827867,0.063941993,0.009844257,0.077464364,0.043409225,NaN,0.295602142
15,30,7.747530203,7.898966934,7.610168726,7.041781754,7.670351816,7.923902322,7.03516427,6.643148785,8.921226864,8.486765415,7.82383597,7.326691966,7.79813317,6.838082954,8.711075902,6.213552754,7.571747491,6.994216437,7.182280376,7.08756678,NaN,8.798359186
30,45,20.10771012,20.10456825,18.27623259,17.83112247,20.29882485,19.71729556,20.59865045,19.34773216,20.2444596,19.50142124,20.106127,18.05423881,20.00575267,19.96976554,19.88504859,18.50398466,19.52269342,17.75909134,18.9146456,18.33268023,NaN,23.20947025
45,60,22.8897733,23.15224102,20.49180998,20.47439954,23.39002953,22.64686713,23.93190138,22.55048026,21.94145826,20.83787939,23.02202523,20.48312672,23.01549942,23.23740766,21.40765218,21.55015059,22.33151828,20.82849051,22.52814182,21.67215588,NaN,23.99321576
60,90,24.01573898,24.0977521,21.19385031,21.54526327,24.19529129,24.21666158,25.32573579,23.72634161,22.9516384,22.49775089,24.05706365,21.36911366,24.20606123,24.5216586,22.73209097,22.26038601,23.40965994,21.99237821,23.49943618,22.74044495,NaN,24.72364844
90,120,24.43592823,24.24299525,21.85784783,21.7039947,24.84746089,23.79451548,26.11311072,23.50483135,22.97081671,21.88795773,24.33871338,21.78111527,24.31681005,24.801828,22.44703294,22.64896175,23.66762205,21.61133805,24.11315864,22.85318064,NaN,25.44132577
120,150,24.13384427,24.44273789,21.70866812,21.64337645,24.29098855,23.91486216,25.47670504,23.80139287,22.22627741,22.63620113,24.28948923,21.67610462,24.10143287,24.63446094,22.42455936,22.49188647,23.55241718,20.9248072,23.61394567,22.25962982,NaN,24.92584035
150,180,23.83618121,24.20816529,21.59796496,21.60039535,24.15430918,23.63736382,24.81292982,23.37663974,22.18919072,23.7448038,24.02361612,21.59917709,23.89378523,24.09085135,22.94164778,22.0291188,23.33524463,21.51376734,23.28093271,22.39094504,NaN,24.54210969
180,210,23.4222493,23.45737499,21.42773051,21.65503499,23.51728541,23.13453245,24.09614852,22.97071106,22.11361908,22.59510092,23.43994839,21.54109612,23.32439015,23.53034767,22.34651402,21.54482929,22.89419597,21.42631024,22.42703059,21.92304336,NaN,23.82336513
210,240,23.16516316,23.22482009,20.93789063,21.01686539,23.28267247,22.9623156,23.68062267,22.61399454,21.27267692,21.62909236,23.19522303,20.97727842,23.12122284,23.14438754,21.44507667,20.78593561,22.52779772,21.34631237,22.63370957,21.98534488,NaN,23.21150231
240,270,22.50196943,22.88820283,20.56774363,21.17389278,22.73824721,21.99578377,22.6862254,21.82102874,20.89313295,21.71726789,22.69658427,20.87005386,22.36406935,22.25125764,21.29177073,20.42806803,22.03003663,20.4325157,22.74740906,21.58157219,NaN,22.81223107
270,300,22.084162,22.53427651,19.91432474,20.5765985,21.92324261,22.09733082,22.1088137,21.42123109,20.85072144,21.45674113,22.31096518,20.24462651,22.01097751,21.76313938,21.14385589,19.47939803,21.58225866,20.5403343,21.75749574,21.14450349,NaN,22.07894006
300,360,21.24506883,21.7113118,19.60426279,20.14484351,21.65337724,21.41066369,21.18642929,20.57819383,19.7315716,19.98932082,21.4799988,19.87387149,21.53105737,20.88064584,19.85624606,18.61804834,20.91758542,20.23380628,21.31431353,20.77014367,NaN,21.85286332
360,420,19.77212024,20.46790583,18.70299329,19.62354158,20.12417017,20.89255585,19.50093034,19.97185631,18.65762554,19.28559376,20.12271189,19.16210664,20.511412,19.737683,18.9613766,17.65512473,19.84876219,20.34037466,19.33731753,19.84248162,NaN,20.47632512
420,480,19.20478341,19.79393694,18.05593385,19.01076263,19.20465545,19.70071683,18.41460612,18.61021875,17.8701161,18.51447793,19.50164542,18.53214422,19.45465454,18.51294814,18.18179682,16.39170202,19.03611591,19.19681965,17.65875468,18.43336179,NaN,19.09134233
480,540,18.33872282,19.02265831,17.45546403,18.18575289,18.34768218,18.83004306,17.18571829,17.55994139,18.18885698,17.6949845,18.68334345,17.81968758,18.59077665,17.37385469,17.94996863,15.42168892,18.2092106,18.44977804,16.67831657,17.57046786,NaN,18.70440519
540,600,17.8262497,18.29349333,16.51752753,17.25555304,17.7466497,18.11101929,16.47204919,15.81142574,17.3195884,17.4924837,18.06168388,16.88560965,17.93028033,16.13992828,17.40321864,13.97428053,17.40678229,17.91766487,17.36373104,17.64270566,NaN,16.94330031
600,660,16.87751472,17.68657167,16.02484472,17.11069874,16.94929571,17.75425179,15.29668365,15.75184473,16.95218547,16.83496859,17.28518141,16.56640249,17.35496786,15.5255107,16.89548714,13.1808056,16.82608254,17.45667705,15.90636358,16.68713933,NaN,16.56215183
660,720,16.1389775,17.00073113,15.52382954,16.6924644,16.36870324,17.26446956,14.67361656,15.32144965,16.44873386,16.39292982,16.57319693,16.10667334,16.82014085,14.99930726,16.4217412,12.48661254,16.25414203,17.20904759,15.35177803,16.28714437,NaN,15.47612871
720,780,16.03668081,16.65519168,15.16413312,16.2667313,15.7219779,16.75205345,13.61617838,14.47498219,16.06159481,16.42525942,16.34833536,15.71404185,16.24110307,14.04793221,16.23750102,11.92600406,15.80203765,16.20599375,14.7121428,15.46448265,NaN,15.42666973
780,840,15.19112613,16.12208415,14.63327749,15.86849326,15.39573434,16.05213586,13.11780959,13.94072738,15.36995037,15.678835,15.66021619,15.24932779,15.72653974,13.53152213,15.51935926,11.15850409,15.23311397,15.82168661,14.65174755,15.24095745,NaN,14.93901098
840,1020,14.11126726,15.14719113,13.80181194,14.97091469,14.27133204,15.25029674,12.0906221,12.96980571,14.35700103,14.74701246,14.6332474,14.3848891,14.76469897,12.53262164,14.54565132,10.13555115,14.26821629,14.71061739,13.045547,13.88411714,NaN,13.56875956
1020,1200,13.16161286,14.261872,12.86685339,14.00348123,13.49393851,14.27641446,10.8798472,11.75069493,13.67679933,14.04691726,13.71601018,13.43373404,13.88828139,11.31765597,13.85582704,8.576994318,13.3134866,13.54771192,12.28260898,12.91974573,NaN,12.09632264
1200,1500,12.3157757,13.29624902,11.91949556,13.0285691,12.30612679,13.33213507,9.642735626,10.53955626,12.94280491,13.18143556,12.80981547,12.47263381,12.82320218,10.09360198,13.05823163,7.203551237,12.31539871,12.13027512,11.10638211,11.62203965,NaN,11.18110315
1500,1800,11.53498438,12.42191388,11.05821176,11.93586726,11.51585218,12.27387157,8.690852529,9.533301914,12.23902835,12.42952123,11.9818894,11.4959328,11.89786973,9.114384354,12.33117062,6.016291585,11.4092904,10.68512244,10.44228154,10.56458216,NaN,10.05678834
1800,2100,10.79105003,11.59878692,10.18111626,11.13288403,11.00503654,11.75175749,8.115067028,8.719371745,11.36391442,11.67567125,11.19805157,10.65579998,11.38136004,8.418874336,11.51471261,5.08773514,10.67836699,9.748998928,9.41435374,9.582889235,NaN,9.03324796
2100,2400,10.31938791,10.97063919,9.72866536,10.58331953,10.39978219,11.12762759,7.588220088,8.251446326,11.09468359,11.17178438,10.64753966,10.15491474,10.76659302,7.921649519,11.13197759,4.61068916,10.14223884,8.999862931,8.997461938,8.998671137,NaN,8.619072164
2400,2700,9.827465113,10.49402111,9.38240836,10.19167152,9.842421825,10.60123363,7.33621518,8.009988986,10.65373871,11.03310056,10.16332859,9.786019474,10.22483873,7.67494728,10.83723775,4.284886696,9.72014123,8.453385914,8.361362166,8.407707574,NaN,7.882723583
2700,3000,9.359701698,10.1550398,8.897120139,9.933698421,9.562274263,10.29517914,7.015753643,7.878559185,10.53431607,10.54228914,9.760455749,9.414102173,9.931634907,7.449519294,10.53817268,4.006801957,9.379373414,8.051380087,7.918326294,7.985335436,NaN,7.671453771
3000,3300,9.059015011,9.806859077,8.635595245,9.562083019,9.247889281,10.01996062,6.68253023,7.593936267,10.14813602,10.41527879,9.435837823,9.097670847,9.63698857,7.140729225,10.27735418,3.82951326,9.067993773,7.673583169,7.278737318,7.477591339,NaN,7.2143219
3300,3600,8.975055192,9.632560581,8.544635625,9.350064524,9.03878574,9.65562728,6.675276271,7.438860429,9.560849686,10.2027238,9.306358255,8.946334442,9.349654168,7.059159502,9.87132709,3.752540232,8.896889882,7.220770906,7.00911243,7.115708811,NaN,7.483529931
