start,end,leftfrontal,rightfrontal,lefttemporal,righttemporal,leftparietal,rightparietal,leftoccipital,rightoccipital,leftcingulate,rightcingulate,frontal,temporal,parietal,occipital,cingulate,cerebellum,totalcortical,leftdeep,rightdeep,deep,ventricles,whitematter
1500,1800,9.704228366,10.31693811,9.664918814,10.18107789,9.416587037,9.914520357,7.753244626,8.49374298,10.69699491,10.70090349,10.01295985,9.922347485,9.667529522,8.125521732,10.69888551,5.756618497,9.653486993,9.223501658,9.148272566,9.186159775,3.900552886,9.100448937
1800,2100,9.114953004,9.654970414,8.93057924,9.518099432,8.994703025,9.505798245,7.271566119,7.817529796,9.9645312,10.05971749,9.387056359,9.223598483,9.252278687,7.546043134,10.01057324,4.944188162,9.056873844,8.569575773,8.367650597,8.46934505,3.689044747,8.642210072
2100,2400,8.737895467,9.165153899,8.549238502,9.069667078,8.530631812,9.014772194,6.847887944,7.433072596,9.708638694,9.66251234,8.953181957,8.808796538,8.774623097,7.142082857,9.686327169,4.522045399,8.627800974,7.905693253,7.950523234,7.92794576,3.416746282,8.348149714
2400,2700,8.33758392,8.778160875,8.249108418,8.735393436,8.112875906,8.597611034,6.600011696,7.210285481,9.319373798,9.496433962,8.559581332,8.49163773,8.357166924,6.906819885,9.405018598,4.216072908,8.277944466,7.439026736,7.576779981,7.50740408,3.31488841,8.039576241
2700,3000,7.974050564,8.537452905,7.854657834,8.520272074,7.88738295,8.36869851,6.366597976,7.095308538,9.206431083,9.126701391,8.257937091,8.186625626,8.129950615,6.732948904,9.167865472,3.978559217,8.013018027,7.173937894,7.121272428,7.147796044,3.420260086,7.858406832
3000,3300,7.718173526,8.236717317,7.625802889,8.212816572,7.644460632,8.149060307,6.096744665,6.851155574,8.891925252,8.965187775,7.979456778,7.918569517,7.898762747,6.47601615,8.927362665,3.811678878,7.75181037,6.89915022,6.626846079,6.763985099,3.243234971,7.606075814
3300,3600,7.636009454,8.072226732,7.529026179,8.025608342,7.446736372,7.872326059,6.055061435,6.699624571,8.426163563,8.770293509,7.855810117,7.776691079,7.661219977,6.379108204,8.592620769,3.726873755,7.595833009,6.480764438,6.479007606,6.47989239,3.436510688,7.400541629
3600,4200,7.246794656,7.700470099,7.150272663,7.568733168,7.258107554,7.62283739,5.88557738,6.396292101,8.266543448,8.401597009,7.475392119,7.358975244,7.441919739,6.142333384,8.331869464,3.43716665,7.265806814,6.201731704,6.097181931,6.149835752,3.161743955,7.167334524
4200,4800,6.927875101,7.324159451,6.825363262,7.174691633,6.918574762,7.292529958,5.658702954,6.21182835,7.608868429,7.941444568,7.127554406,6.99958695,7.107036233,5.936780441,7.769737007,3.338879058,6.931265525,5.818525887,5.996978041,5.907105175,3.1811962,6.753286251
4800,5400,6.738521768,6.99049197,6.558853441,6.903068363,6.766617234,7.116749434,5.451644425,6.04532948,7.429187131,7.423486906,6.865484225,6.730526853,6.943072676,5.750112819,7.426429907,3.257235644,6.696105655,5.535813477,5.730072749,5.632239032,3.221866885,6.518180492
