start,end,leftfrontal,rightfrontal,lefttemporal,righttemporal,leftparietal,rightparietal,leftoccipital,rightoccipital,leftcingulate,rightcingulate,frontal,temporal,parietal,occipital,cingulate,cerebellum,totalcortical,leftdeep,rightdeep,deep,ventricles,whitematter
0,15,0.029126407,0.057346138,0.061296504,0.054466215,0.041434613,0.080757542,0.023643566,0.010422194,0.104287126,0.171420542,0.043345733,0.057889973,0.061252113,0.016996672,0.136759862,0.023240564,0.050387776,-0.031767783,0.052576746,0.01009878,0.008736153,0.021350747
15,30,6.126554702,6.232155123,6.357310076,5.753639541,5.879012147,6.005777172,5.687660919,5.484555613,7.427022568,7.017022515,6.179764521,6.056236027,5.942897669,5.585552042,7.228703694,5.528679071,6.047881648,5.455635484,5.651210664,5.552714223,2.04375103,3.976662775
30,45,16.06737144,16.00035525,15.41225252,14.75747816,15.70172726,15.20386414,16.71515336,16.05869358,17.15133819,16.25143127,16.0336034,15.085691,15.45082015,16.38512569,16.71604915,16.46325153,15.74786945,14.10159915,15.52972438,14.81048561,5.85987545,11.38811273
45,60,18.31769407,18.45778499,17.36127892,17.00695728,18.14391024,17.57373804,19.44504178,18.72774174,18.60999931,17.64546505,18.38828292,17.1845649,17.85656167,19.08442736,18.14344974,19.123737,18.06374349,16.54099842,17.63297104,17.08302694,6.12160699,13.7436682
60,90,19.2413855,19.18263937,17.9358282,17.83706329,18.74839682,18.67517094,20.53969635,19.689147,19.42472557,18.8617018,19.21178456,17.88657028,18.71149332,20.11209236,19.15238844,19.76835428,18.90089618,17.50767633,19.02916048,18.26290388,6.761229804,14.34397907
90,120,19.62997605,19.35942258,18.51536703,17.99428715,19.28254361,18.49494495,21.18457516,19.60159366,19.57805704,18.46068059,19.49364988,18.25548416,18.88561905,20.38874926,19.03757702,20.14627747,19.16690063,17.54231377,19.40278778,18.4658076,6.556167998,14.86938618
120,150,19.41796275,19.49753979,18.42538562,17.99579117,18.91989826,18.58593189,20.77494803,19.86522852,18.96452888,19.08266439,19.45805993,18.2111301,18.75158988,20.31759692,19.02167156,20.04482041,19.10399327,17.49502849,18.9907905,18.2374882,6.364357775,14.99793895
150,180,19.21015227,19.36146928,18.33366288,17.97380694,18.80892507,18.3927388,20.27208197,19.54106911,18.98479439,19.9199466,19.28639771,18.15418868,18.59918049,19.90457359,19.43713173,19.63163945,18.95169918,17.6473574,18.65409622,18.14707794,6.134412656,14.87841929
180,210,18.86604393,18.7835253,18.18321979,17.98353573,18.33657405,18.03542608,19.69558667,19.20488264,18.82891274,19.02641301,18.82446454,18.08362956,18.18480509,19.44889081,18.92444451,19.22313782,18.60024808,17.40661182,18.39674174,17.89808812,5.909331644,14.6514609
210,240,18.67464259,18.60173278,17.756311,17.47772355,18.10455148,17.9130499,19.38679287,18.91312078,18.2038459,18.1944134,18.63790488,17.61736857,18.0080408,19.14865962,18.19928335,18.59146545,18.30454343,17.20329953,18.25105555,17.72338001,6.239770566,14.44857794
240,270,18.1595014,18.32583428,17.46112615,17.58109565,17.77216953,17.15294456,18.56389782,18.2945971,17.7785659,18.24124512,18.24331302,17.52095962,17.46009993,18.42850995,18.00236592,18.21722947,17.9132086,16.64928877,18.50905969,17.5724336,6.064441057,14.22628564
270,300,17.84454157,18.07073852,16.95791162,17.13856349,17.13579728,17.23571961,18.18750682,17.96080972,17.78467786,17.98301404,17.95851743,17.04800976,17.18615494,18.07353743,17.88061397,17.43840663,17.57728344,16.60732549,17.60956084,17.10481062,5.399581894,14.04158386
300,360,17.19133683,17.42281073,16.6700497,16.76264338,16.92319357,16.68669039,17.45558119,17.26019989,16.92439858,16.86743376,17.30797164,16.71622978,16.80400352,17.35735547,16.89684444,16.66298745,17.0418497,16.58361012,17.26538808,16.92202803,5.386420064,13.58743986
360,420,16.10396159,16.51603324,15.95174617,16.3692507,15.80175291,16.29834289,16.145739,16.78204738,16.04903516,16.35565222,16.31159578,16.15997197,16.0520184,16.46563578,16.19734721,15.83697573,16.23796,16.30511427,15.89108274,16.09959914,5.253976906,13.13456394
420,480,15.65497655,15.98237464,15.43647066,15.88608184,15.13428515,15.44119057,15.29875993,15.72057019,15.42103456,15.69737916,15.81994552,15.6607093,15.28895568,15.51082023,15.55470369,14.74806315,15.61094902,15.61531277,14.95192596,15.28602377,4.819614516,12.77560046
480,540,14.98518602,15.41049952,14.9325686,15.23761152,14.49663575,14.80256607,14.36240975,14.87435495,15.63415716,15.01057794,15.1994925,15.08470541,14.65081486,14.61978437,15.33252908,13.90423872,14.97212536,15.05772255,14.09094476,14.57783768,5.231870674,12.42747585
540,600,14.57824125,14.85302814,14.16115164,14.4765348,14.09245846,14.29353552,13.80542629,13.54118293,14.88985031,14.83819848,14.71670055,14.31844553,14.19379488,13.67258095,14.86486608,12.67750593,14.34991619,14.67133108,14.49917694,14.58587797,4.661349029,12.07733995
600,660,13.88803837,14.43105684,13.77342907,14.37104811,13.49122012,14.01473474,12.93265884,13.46568502,14.62821053,14.2971254,14.16165389,14.07148501,13.75505476,13.20063167,14.46806316,11.98320777,13.91789679,14.37218185,13.35822341,13.86887766,4.491584784,11.83695708
660,720,13.30699233,13.88552358,13.36395074,14.02484189,13.04288414,13.62665987,12.39650659,13.09395147,14.21979211,13.9700581,13.59850199,13.69356294,13.33708846,12.74713905,14.09899464,11.38520924,13.45730973,14.01045897,13.11134062,13.5641586,4.185900645,11.48531973
720,780,13.2151233,13.60164367,13.07379907,13.66511634,12.5725752,13.26257433,11.61622563,12.45801095,13.86273218,14.03424184,13.40988274,13.36871206,12.92031272,12.03942361,13.94569218,10.87634105,13.10745951,13.41164704,12.77099603,13.09364354,4.426791273,11.27857544
780,840,12.58207505,13.21503191,12.64126731,13.37405618,12.32390669,12.73502948,11.23399837,12.02446783,13.3202682,13.36505792,12.90100863,13.00673771,12.53109944,11.63139788,13.34193319,10.22564609,12.67332047,13.0924292,12.5159143,12.80626129,4.593839154,11.05758962
840,1020,11.75475307,12.4740546,11.95036043,12.64594286,11.4964673,12.14120931,10.43378753,11.25000454,12.48062228,12.64192326,12.1171939,12.29727453,11.82139668,10.84413133,12.55864429,9.344990455,11.92360584,12.37800382,11.3618407,11.87360528,4.318809925,10.68641129
1020,1200,11.00882046,11.76211646,11.18002859,11.85453982,10.90175182,11.42862517,9.487095632,10.27356398,11.92555415,12.04889189,11.38839039,11.51643366,11.16727916,9.88248363,11.98521317,7.992224013,11.16680419,11.4550871,10.77083078,11.11543899,4.382726533,10.15549996
1200,1500,10.34863539,11.02603759,10.39403877,11.08865919,10.02559626,10.72337897,8.524059366,9.318382907,11.2847029,11.33291616,10.68996403,10.74047308,10.37725645,8.923396471,11.30802388,6.80210853,10.38992317,10.42408305,9.793405926,10.11103034,3.986795264,9.67214831
